A,9,-11,-3,-9,-9,-4,-6,-7,-5,-5,-2,-3,-6,-2,-8,-1,2,-13,0,-14,-4,-4,-2,-14
R,-11,11,-14,-4,-10,-1,-12,1,-9,-5,-9,-12,-10,-8,1,-4,-8,2,-4,-4,-10,-12,-2,-14
N,-3,-14,9,-7,-1,-10,0,-13,-4,-8,-11,1,-5,0,-13,-8,-6,-10,-4,-13,0,5,-3,-14
D,-9,-4,-7,12,0,-8,-3,-3,0,-8,-2,-2,0,-8,-5,-4,-4,3,-11,-9,0,-1,-2,-14
C,-9,-10,-1,0,10,-10,0,-3,-4,-6,0,-8,0,-8,-14,-7,-6,-7,-11,-12,-6,5,-3,-14
Q,-4,-1,-10,-8,-10,8,-6,0,-5,1,-8,-9,-5,-9,-9,-3,0,-8,2,-12,-6,-10,-2,-14
E,-6,-12,0,-3,0,-6,9,-8,0,-3,-7,-5,3,-4,-11,-3,0,-10,-7,-10,-1,0,-1,-14
G,-7,1,-13,-3,-3,0,-8,8,-10,0,-2,-13,-5,-12,-7,-4,-6,-6,-2,-5,-11,-5,-3,-14
H,-5,-9,-4,0,-4,-5,0,-10,10,-8,-7,2,-3,-5,-7,2,0,-2,-8,-14,6,-4,-2,-14
I,-5,-5,-8,-8,-6,1,-3,0,-8,12,-9,-11,-2,-10,-12,-7,0,-12,0,-10,-9,-7,-2,-14
L,-2,-9,-11,-2,0,-8,-7,-2,-7,-9,10,-11,-3,-9,-10,0,-2,-9,-9,-12,-8,-2,-4,-14
K,-3,-12,1,-2,-8,-9,-5,-13,2,-11,-11,10,-8,-1,-11,-3,-5,-5,-4,-14,6,0,-2,-14
M,-6,-10,-5,0,0,-5,3,-5,-3,-2,-3,-8,9,-1,-7,-1,-1,-7,-8,-4,-5,-2,-2,-14
F,-2,-8,0,-8,-8,-9,-4,-12,-5,-10,-9,-1,-1,9,-4,0,-5,-12,-4,-3,-2,-2,-3,-14
P,-8,1,-13,-5,-14,-9,-11,-7,-7,-12,-10,-11,-7,-4,13,0,-5,1,-7,-1,-8,-13,-4,-14
S,-1,-4,-8,-4,-7,-3,-3,-4,2,-7,0,-3,-1,0,0,9,0,-5,-7,-10,0,-8,-2,-14
T,2,-8,-6,-4,-6,0,0,-6,0,0,-2,-5,-1,-5,-5,0,9,-9,-2,-13,-1,-6,-1,-14
W,-13,2,-10,3,-7,-8,-10,-6,-2,-12,-9,-5,-7,-12,1,-5,-9,12,-11,-3,-3,-8,-3,-14
Y,0,-4,-4,-11,-11,2,-7,-2,-8,0,-9,-4,-8,-4,-7,-7,-2,-11,9,-14,-6,-6,-2,-14
V,-14,-4,-13,-9,-12,-12,-10,-5,-14,-10,-12,-14,-4,-3,-1,-10,-13,-3,-14,12,-14,-12,-7,-14
B,-4,-10,0,0,-6,-6,-1,-11,6,-9,-8,6,-5,-2,-8,0,-1,-3,-6,-14,10,-1,-3,-14
Z,-4,-12,5,-1,5,-10,0,-5,-4,-7,-2,0,-2,-2,-13,-8,-6,-8,-6,-12,-1,9,-3,-14
X,-2,-2,-3,-2,-3,-2,-1,-3,-2,-2,-4,-2,-2,-3,-4,-2,-1,-3,-2,-7,-3,-3,-2,-14
*,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1
